"","NOME","URL","PRECO"
"11","Copacabana lar a alguns passos da praia","https://www.airbnb.com.br/rooms/15654082?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-07&check_out=2024-03-12&source_impression_id=p3_1697667111_SuVCrLbnWNtSGdui&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$891"
"12","Casa do alto VG","https://www.airbnb.com.br/rooms/965142206326113425?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667111_bd%2F2PRMzxKbin1U3&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.901"
"13","Localização & Estilo","https://www.airbnb.com.br/rooms/929751749459303176?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1697667111_dWl%2Faw5ZzP6YtUvC&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$647"
"14","Lobie Copacabana Premium","https://www.airbnb.com.br/rooms/952831881264023737?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667111_yUpeTYkb5NpON8gD&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.855"
"15","Ótimo apartamento na Tijuca","https://www.airbnb.com.br/rooms/6486300?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667111_8JXhv742aANqoj%2BB&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$440"
"16","Quarto em apartamento no Ingá","https://www.airbnb.com.br/rooms/30003460?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1697667111_Bv7l5X9yiR0GCbUq&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$325"
"17","Apartamento no coração do Leblon","https://www.airbnb.com.br/rooms/53878312?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697667111_CaQLYI2mvE%2FKxoCF&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.168"
"18","Moderno Ape em Copa perto da praia","https://www.airbnb.com.br/rooms/1003550877826238344?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667111_pJviuUJBa%2Bdlddet&previous_page_section_name=1000&federated_search_id=d38d5882-cbe1-485b-80c9-0e8e517da510","R$1.689"
"19","Magnífico flat no Rio de Janeiro","https://www.airbnb.com.br/rooms/2515976?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-27&check_out=2023-11-01&source_impression_id=p3_1697667184_Ujw6WamHjdJDt3Ro&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$908"
"20","Copacabana Petit & Elegant","https://www.airbnb.com.br/rooms/996346917544918883?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1697667184_ZBEfXiQKPcKUZfPs&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.254"
"21","Mediterraneo Flat 5.1- Perto da Praia and Shoppings","https://www.airbnb.com.br/rooms/33274782?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667184_RVwLGb%2Byh0yFGG2F&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.143"
"22","Apartamento Barra Royal Plaza","https://www.airbnb.com.br/rooms/989825311423408311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667184_uZqv%2BuwZdQWi7FGo&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.718"
"23","Apto de 1 quarto reformado em Copacabana","https://www.airbnb.com.br/rooms/37932186?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667184_TSlw44Q786lrkvzX&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.094"
"24","Hotel Espetacular na Barra","https://www.airbnb.com.br/rooms/1002084999958926380?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667184_HMLWGJbtCSoj0WBS&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.243"
"25","Quarto em apartamento no Ingá","https://www.airbnb.com.br/rooms/30003460?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-04&check_out=2023-11-09&source_impression_id=p3_1697667184_RZhf3zEfceAKfT0m&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$325"
"26","OU lugar ideal!!!","https://www.airbnb.com.br/rooms/13659916?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667184_J8WdRk2S4CKumZfy&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.489"
"27","Ótimo apartamento na Tijuca","https://www.airbnb.com.br/rooms/6486300?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667184_6meUjnIe6dBDRtzs&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$440"
"28","Villa Del Sol • Vista Mar","https://www.airbnb.com.br/rooms/564333792826059516?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697667184_n4GbSDoaFzoHzXL5&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.690"
"29","Kitnet na Ilha do Governador","https://www.airbnb.com.br/rooms/825117363099110919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697667184_94WF5E47xgObJAwx&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$447"
"30","No Coração da Tijuca","https://www.airbnb.com.br/rooms/882125066534725846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-03&source_impression_id=p3_1697667184_CNkGTF4WG3%2FYj2dY&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.191"
"31","Aluguel Temporada Barra da Tijuca/Parque Olímpico","https://www.airbnb.com.br/rooms/46870707?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-03&source_impression_id=p3_1697667184_rW2pVdeunIkkvM8j&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.226"
"32","Quarto Solteiro","https://www.airbnb.com.br/rooms/822290264162769441?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667184_zUYLzjCPg6p0SFqq&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$344"
"33","Próximo da marinha e do aeroporto galeão","https://www.airbnb.com.br/rooms/5125338?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667184_a2SmvjY6O6XJ0BgT&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$352"
"34","Suíte, piscina e academia | BPremium T2 Z10","https://www.airbnb.com.br/rooms/47920760?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697667184_2pyltVAyhYcKgO90&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.187"
"35","Life Flamengo - Metrô e Conforto!","https://www.airbnb.com.br/rooms/969657722248046113?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697667184_z6%2Ffs%2Fk%2BDSJESTeU&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.128"
"36","Linda vista p/ Pão de Açúcar, área nobre, praias.","https://www.airbnb.com.br/rooms/46774714?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667184_Rz8VCJBUS7N%2B0d5S&previous_page_section_name=1000&federated_search_id=952ff9ee-3fe5-4aec-88a6-e618e314772e","R$1.432"
"37","Para casal ou 4 pes, metrô Saens Pena, Maracanã","https://www.airbnb.com.br/rooms/577710421109961739?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667253_2ZaVMlMj4KCcv25h&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.335"
"38","Botafogo - lifestyleCarioca","https://www.airbnb.com.br/rooms/986965505092086362?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667253_B9ZmGMKe7OP4S%2BdC&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.221"
"39","Espaço encantador em Copacabana","https://www.airbnb.com.br/rooms/725368230534300150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-25&check_out=2023-10-30&source_impression_id=p3_1697667253_sKQW72E25TkJt1eo&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.416"
"40","Life Flamengo - Metrô e Conforto!","https://www.airbnb.com.br/rooms/969657722248046113?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697667253_WDunwyYDfarJeOp%2B&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.128"
"41","Studio in Lapa-Rio de Janeiro","https://www.airbnb.com.br/rooms/53589927?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-26&check_out=2023-10-31&source_impression_id=p3_1697667253_cjzwXShMfsifv8QY&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$664"
"42","Apartamento Parque Olímpico Barra/Jeunesse Arena M","https://www.airbnb.com.br/rooms/14267105?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667253_95Qg%2FZzqaDlUqf5S&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.369"
"43","Barra da Tijuca - Parque Olímpico - Rock in Rio","https://www.airbnb.com.br/rooms/14216305?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667253_YCYxT1lkX6rj1ZfJ&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.741"
"44","Apartamento encantador em Copacabana junto a praia","https://www.airbnb.com.br/rooms/52633073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667253_s0v7j8Ed%2BqOQ5xT5&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.031"
"45","Apto reformado com vista para floresta","https://www.airbnb.com.br/rooms/45619810?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-03&source_impression_id=p3_1697667253_cIjcjf77CBSWsUgq&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.586"
"46","Flat com balsa p/ praia","https://www.airbnb.com.br/rooms/645396262148872961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667253_ZG2MWKozSABra1%2Bp&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.140"
"47","Confortável APTO Recreio a pé da Praia","https://www.airbnb.com.br/rooms/901350687964686160?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667253_SsHcIjiZ2%2FVkqM8g&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.135"
"48","Loft - 50M da Praia de Icaraí - 500MB de Internet","https://www.airbnb.com.br/rooms/991968407776178770?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667253_VcwGRbau62EJnTrW&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.157"
"49","Bienal/Projac/Jeunesse Arena","https://www.airbnb.com.br/rooms/35063130?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1697667253_JSVVavZB2xFSKqA7&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.077"
"50","Apartamento Centro do Rio / Lapa","https://www.airbnb.com.br/rooms/798663167559968923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667253_R6073%2Fn5ZZKNW6YR&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$619"
"51","Copa Spot House","https://www.airbnb.com.br/rooms/46178543?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667253_BFaEQF3aysVVzb4G&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.889"
"52","Estúdio 100m Praia de Copacabana!","https://www.airbnb.com.br/rooms/962415248739107793?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-03&source_impression_id=p3_1697667253_fq1RwObQTsZQ0eOn&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.260"
"53","Leblon 319 /305","https://www.airbnb.com.br/rooms/802952211269657980?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667253_RxjHmXWomAk0RLvl&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.970"
"54","Mini Cobertura Futurista com Terraço","https://www.airbnb.com.br/rooms/868327396528064286?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667253_PwHGEuYxkdguCyGv&previous_page_section_name=1000&federated_search_id=43cb86eb-543e-44d0-9e1f-945ec3c43ae7","R$1.592"
"55","Apartamento encantador em Copacabana junto a praia","https://www.airbnb.com.br/rooms/52633073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667321_1JYA637bGqtrGd6J&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.031"
"56","Estúdio moderno e renovado em Copacabana","https://www.airbnb.com.br/rooms/780481383233748180?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667322_hZrqgMjeIrFsOXUD&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.310"
"57","Bienal/Projac/Jeunesse Arena","https://www.airbnb.com.br/rooms/35063130?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1697667322_g3Msel2tj1Zzig1K&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.077"
"58","300m Selaron, Arcos da Lapa, Consulado, metrô","https://www.airbnb.com.br/rooms/839098316219823624?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667322_MlfhU6o3w%2FQBfJE5&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.297"
"59","Vista incrivel em Copacabana","https://www.airbnb.com.br/rooms/2612695?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1697667322_kUKU8mxYyIs6h2zj&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.038"
"60","Apartamento aconchegante no Flamengo","https://www.airbnb.com.br/rooms/53130506?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667322_Jtvou68dm5oh%2B2Y4&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.608"
"61","Praia de Copacabana quarto e sala Posto 5","https://www.airbnb.com.br/rooms/810322230630476243?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667322_gUqlSg37aPGabGdV&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.329"
"62","Villa Del Sol • Vista Mar","https://www.airbnb.com.br/rooms/999514535281987583?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667322_MOJnwZauMHwiSaJU&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.483"
"63","Apt tipo flat Riocentro/barra olimpica/jeunesse","https://www.airbnb.com.br/rooms/981298625001894066?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667322_Vn9MiKsocGAiOAof&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.055"
"64","Studio aconchegante a 3 min da praia e metrô","https://www.airbnb.com.br/rooms/989749082791642744?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-20&check_out=2023-11-25&source_impression_id=p3_1697667322_SUh%2FjcjwiHphN0En&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.197"
"65","Suíte independente no jardim botânico","https://www.airbnb.com.br/rooms/46194259?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697667322_c7iLOt%2F8NFrUXC2s&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.397"
"66","Loft moderno com vista incrível!!","https://www.airbnb.com.br/rooms/14067050?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-04-01&check_out=2024-04-06&source_impression_id=p3_1697667322_JArK6dXljWmyxsGM&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.392"
"67","Paraíso no Leblon","https://www.airbnb.com.br/rooms/4790136?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1697667322_Z75mv2dczxRJIe9B&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$2.491"
"68","Apartamento inteiro Centro/Lapa RJ","https://www.airbnb.com.br/rooms/33416573?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697667322_4D2pMYd22IPoHCuD&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$813"
"69","Studio a 60m da Praia de Copacabana | AS 76/810","https://www.airbnb.com.br/rooms/991290508400366840?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697667322_FZIni4qps94TYrce&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.714"
"70","Apartamento Centro do Rio / Lapa","https://www.airbnb.com.br/rooms/798663167559968923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-23&check_out=2023-10-28&source_impression_id=p3_1697667322_xAaNtl9BCHwpX9M0&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$619"
"71","COPACABANA BEST:100m2, 2 QUARTOS,2 VAGAS GARAGEM *","https://www.airbnb.com.br/rooms/46543934?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-27&check_out=2023-12-02&source_impression_id=p3_1697667322_JXI5WkZAevERh2Pq&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.500"
"72","Condomínio com infraestrutura e estacionamento","https://www.airbnb.com.br/rooms/666041103758403523?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-24&check_out=2023-10-29&source_impression_id=p3_1697667322_dBqv9a3xnOaHiapG&previous_page_section_name=1000&federated_search_id=b09bbf56-f20c-43cf-b191-7925d1f6eb37","R$1.031"
"73","Bienal/Projac/Jeunesse Arena","https://www.airbnb.com.br/rooms/35063130?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-28&check_out=2023-11-02&source_impression_id=p3_1697667391_IKF21NSoiAb1Oybl&previous_page_section_name=1000&federated_search_id=210be502-2dd0-487c-b772-8906f9a380f3","R$1.077"
"74","Conforto entre o mar e a lagoa","https://www.airbnb.com.br/rooms/959162106457096306?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-18&check_out=2023-10-23&source_impression_id=p3_1697667392_39H5HfAsHMTw%2FjoT&previous_page_section_name=1000&federated_search_id=210be502-2dd0-487c-b772-8906f9a380f3","R$1.632"
"75","Apt tipo flat Riocentro/barra olimpica/jeunesse","https://www.airbnb.com.br/rooms/981298625001894066?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1697667392_a4FlS8i%2Bd12ESpSi&previous_page_section_name=1000&federated_search_id=210be502-2dd0-487c-b772-8906f9a380f3","R$1.055"
"76","mini apartamento econômico basic","https://www.airbnb.com.br/rooms/910316054214984829?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-29&check_out=2023-11-03&source_impression_id=p3_1697667392_TQ44v9vU%2B5xp4ZY4&previous_page_section_name=1000&federated_search_id=210be502-2dd0-487c-b772-8906f9a380f3","R$676"
